,FNR,FPR,AUTOMATED,REJECT_TRUE,threshold_for_10_model,threshold__for_3_model
127,1.8,19.16,76.78,76.69,0.01,0.8538255033557047
128,1.8,19.16,76.78,76.69,0.01,0.8604697986577181
129,1.8,19.16,76.78,76.69,0.01,0.8671140939597315
130,1.8,19.16,76.78,76.69,0.01,0.873758389261745
131,1.8,19.16,76.78,76.69,0.01,0.8804026845637584
132,1.8,19.16,76.78,76.69,0.01,0.8870469798657719
133,1.8,19.16,76.78,76.69,0.01,0.8936912751677852
134,1.8,19.16,76.78,76.69,0.01,0.9003355704697986
135,1.8,19.16,76.78,76.69,0.01,0.9069798657718121
136,1.8,19.16,76.78,76.69,0.01,0.9136241610738255
137,1.8,19.16,76.78,76.69,0.01,0.9202684563758389
138,1.8,19.16,76.78,76.69,0.01,0.9269127516778524
139,1.8,19.16,76.78,76.69,0.01,0.9335570469798657
140,1.8,19.16,76.78,76.69,0.01,0.9402013422818791
141,1.8,19.16,76.78,76.69,0.01,0.9468456375838926
142,1.8,19.16,76.78,76.69,0.01,0.953489932885906
143,1.8,19.16,76.78,76.69,0.01,0.9601342281879195
144,1.8,19.16,76.78,76.69,0.01,0.9667785234899329
145,1.8,19.16,76.78,76.69,0.01,0.9734228187919463
146,1.8,19.16,76.78,76.69,0.01,0.9800671140939597
147,1.8,19.16,76.78,76.69,0.01,0.9867114093959731
148,1.8,19.16,76.78,76.69,0.01,0.9933557046979866
149,1.8,19.16,76.78,76.69,0.01,1.0
150,2.36,19.32,76.66,76.54,0.016644295302013425,0.01
151,2.5,18.12,77.81,77.68,0.016644295302013425,0.016644295302013425
152,2.58,17.07,78.81,78.68,0.016644295302013425,0.023288590604026847
153,2.59,16.73,79.13,79.0,0.016644295302013425,0.02993288590604027
154,2.62,16.39,79.45,79.32,0.016644295302013425,0.03657718120805369
155,2.62,16.32,79.52,79.38,0.016644295302013425,0.043221476510067115
156,2.67,16.24,79.6,79.46,0.016644295302013425,0.04986577181208054
157,2.71,16.16,79.68,79.54,0.016644295302013425,0.05651006711409396
158,2.71,16.12,79.72,79.58,0.016644295302013425,0.06315436241610738
159,2.71,16.1,79.73,79.6,0.016644295302013425,0.0697986577181208
160,2.75,15.99,79.84,79.7,0.016644295302013425,0.07644295302013422
161,2.75,15.97,79.86,79.72,0.016644295302013425,0.08308724832214764
162,2.75,15.96,79.87,79.73,0.016644295302013425,0.08973154362416107
163,2.76,15.95,79.88,79.74,0.016644295302013425,0.09637583892617449
164,2.76,15.94,79.89,79.75,0.016644295302013425,0.10302013422818791
165,2.76,15.94,79.89,79.75,0.016644295302013425,0.10966442953020133
166,2.76,15.93,79.9,79.75,0.016644295302013425,0.11630872483221476
167,2.76,15.93,79.9,79.76,0.016644295302013425,0.12295302013422818
168,2.76,15.93,79.9,79.76,0.016644295302013425,0.12959731543624162
169,2.76,15.93,79.9,79.76,0.016644295302013425,0.13624161073825503
170,2.76,15.93,79.9,79.76,0.016644295302013425,0.14288590604026846
171,2.76,15.92,79.9,79.76,0.016644295302013425,0.1495302013422819
172,2.76,15.92,79.9,79.76,0.016644295302013425,0.1561744966442953
173,2.76,15.92,79.9,79.76,0.016644295302013425,0.16281879194630872
174,2.76,15.92,79.91,79.77,0.016644295302013425,0.16946308724832215
175,2.76,15.92,79.91,79.77,0.016644295302013425,0.1761073825503356
176,2.76,15.92,79.91,79.77,0.016644295302013425,0.182751677852349
177,2.76,15.91,79.91,79.77,0.016644295302013425,0.1893959731543624
178,2.76,15.91,79.91,79.77,0.016644295302013425,0.19604026845637584
179,2.76,15.91,79.92,79.77,0.016644295302013425,0.20268456375838928
180,2.76,15.91,79.92,79.77,0.016644295302013425,0.2093288590604027
181,2.76,15.91,79.92,79.77,0.016644295302013425,0.2159731543624161
182,2.76,15.91,79.92,79.77,0.016644295302013425,0.22261744966442953
183,2.76,15.91,79.92,79.78,0.016644295302013425,0.22926174496644297
184,2.76,15.91,79.92,79.78,0.016644295302013425,0.23590604026845638
185,2.76,15.91,79.92,79.78,0.016644295302013425,0.2425503355704698
186,2.76,15.91,79.92,79.78,0.016644295302013425,0.24919463087248322
187,2.76,15.91,79.92,79.78,0.016644295302013425,0.25583892617449666
188,2.76,15.9,79.93,79.78,0.016644295302013425,0.26248322147651004
189,2.76,15.9,79.93,79.78,0.016644295302013425,0.2691275167785235
190,2.76,15.9,79.93,79.78,0.016644295302013425,0.2757718120805369
191,2.76,15.9,79.93,79.79,0.016644295302013425,0.28241610738255035
192,2.76,15.9,79.93,79.79,0.016644295302013425,0.2890604026845638
193,2.76,15.9,79.93,79.79,0.016644295302013425,0.29570469798657717
194,2.77,15.9,79.93,79.79,0.016644295302013425,0.3023489932885906
195,2.77,15.9,79.93,79.79,0.016644295302013425,0.30899328859060404
196,2.77,15.9,79.93,79.79,0.016644295302013425,0.3156375838926174
197,2.77,15.9,79.93,79.79,0.016644295302013425,0.32228187919463086
198,2.77,15.9,79.93,79.79,0.016644295302013425,0.3289261744966443
199,2.77,15.9,79.93,79.79,0.016644295302013425,0.33557046979865773
200,2.77,15.9,79.93,79.79,0.016644295302013425,0.34221476510067117
201,2.77,15.9,79.93,79.79,0.016644295302013425,0.34885906040268455
202,2.77,15.9,79.93,79.79,0.016644295302013425,0.355503355704698
203,2.77,15.9,79.93,79.79,0.016644295302013425,0.3621476510067114
204,2.78,15.89,79.93,79.79,0.016644295302013425,0.3687919463087248
205,2.78,15.89,79.93,79.79,0.016644295302013425,0.37543624161073824
206,2.78,15.89,79.93,79.79,0.016644295302013425,0.3820805369127517
207,2.78,15.89,79.93,79.79,0.016644295302013425,0.3887248322147651
208,2.78,15.89,79.93,79.79,0.016644295302013425,0.39536912751677855
209,2.78,15.89,79.93,79.79,0.016644295302013425,0.40201342281879193
210,2.78,15.89,79.93,79.79,0.016644295302013425,0.40865771812080537
211,2.78,15.89,79.93,79.79,0.016644295302013425,0.4153020134228188
212,2.78,15.89,79.93,79.79,0.016644295302013425,0.4219463087248322
213,2.78,15.89,79.93,79.79,0.016644295302013425,0.4285906040268456
214,2.78,15.89,79.93,79.79,0.016644295302013425,0.43523489932885906
215,2.78,15.89,79.93,79.79,0.016644295302013425,0.4418791946308725
216,2.78,15.89,79.93,79.79,0.016644295302013425,0.44852348993288593
217,2.78,15.89,79.93,79.79,0.016644295302013425,0.4551677852348993
218,2.78,15.89,79.93,79.79,0.016644295302013425,0.46181208053691275
219,2.78,15.89,79.93,79.79,0.016644295302013425,0.4684563758389262
220,2.78,15.89,79.93,79.79,0.016644295302013425,0.47510067114093957
221,2.78,15.89,79.93,79.79,0.016644295302013425,0.481744966442953
222,2.78,15.89,79.93,79.79,0.016644295302013425,0.48838926174496644
223,2.78,15.89,79.93,79.79,0.016644295302013425,0.4950335570469799
224,2.78,15.89,79.93,79.79,0.016644295302013425,0.5016778523489933
225,2.78,15.89,79.93,79.79,0.016644295302013425,0.5083221476510067
226,2.78,15.89,79.93,79.79,0.016644295302013425,0.5149664429530201
227,2.78,15.89,79.93,79.79,0.016644295302013425,0.5216107382550336
228,2.78,15.89,79.93,79.79,0.016644295302013425,0.528255033557047
229,2.78,15.89,79.93,79.79,0.016644295302013425,0.5348993288590604
230,2.78,15.89,79.93,79.79,0.016644295302013425,0.5415436241610738
231,2.78,15.89,79.93,79.79,0.016644295302013425,0.5481879194630872
232,2.78,15.89,79.93,79.79,0.016644295302013425,0.5548322147651007
233,2.78,15.89,79.93,79.79,0.016644295302013425,0.5614765100671141
234,2.78,15.89,79.94,79.79,0.016644295302013425,0.5681208053691276
235,2.78,15.89,79.94,79.79,0.016644295302013425,0.574765100671141
236,2.78,15.89,79.94,79.79,0.016644295302013425,0.5814093959731543
237,2.78,15.89,79.94,79.79,0.016644295302013425,0.5880536912751678
238,2.78,15.89,79.94,79.79,0.016644295302013425,0.5946979865771812
239,2.78,15.89,79.94,79.79,0.016644295302013425,0.6013422818791946
240,2.78,15.89,79.94,79.79,0.016644295302013425,0.6079865771812081
241,2.78,15.89,79.94,79.79,0.016644295302013425,0.6146308724832215
242,2.78,15.89,79.94,79.79,0.016644295302013425,0.6212751677852348
243,2.78,15.89,79.94,79.79,0.016644295302013425,0.6279194630872483
244,2.78,15.89,79.94,79.79,0.016644295302013425,0.6345637583892617
245,2.78,15.89,79.94,79.79,0.016644295302013425,0.6412080536912752
246,2.78,15.89,79.94,79.79,0.016644295302013425,0.6478523489932886
247,2.78,15.89,79.94,79.79,0.016644295302013425,0.654496644295302
248,2.78,15.89,79.94,79.79,0.016644295302013425,0.6611409395973155
249,2.78,15.89,79.94,79.79,0.016644295302013425,0.6677852348993288
250,2.78,15.89,79.94,79.79,0.016644295302013425,0.6744295302013423
251,2.78,15.89,79.94,79.79,0.016644295302013425,0.6810738255033557
252,2.78,15.89,79.94,79.79,0.016644295302013425,0.6877181208053691
253,2.78,15.89,79.94,79.79,0.016644295302013425,0.6943624161073826
254,2.78,15.89,79.94,79.79,0.016644295302013425,0.701006711409396
255,2.78,15.89,79.94,79.79,0.016644295302013425,0.7076510067114093
256,2.78,15.89,79.94,79.79,0.016644295302013425,0.7142953020134228
257,2.78,15.89,79.94,79.79,0.016644295302013425,0.7209395973154362
258,2.78,15.89,79.94,79.79,0.016644295302013425,0.7275838926174496
259,2.78,15.89,79.94,79.79,0.016644295302013425,0.7342281879194631
260,2.78,15.89,79.94,79.79,0.016644295302013425,0.7408724832214765
261,2.78,15.89,79.94,79.79,0.016644295302013425,0.74751677852349
262,2.78,15.89,79.94,79.79,0.016644295302013425,0.7541610738255033
263,2.78,15.89,79.94,79.79,0.016644295302013425,0.7608053691275167
264,2.78,15.89,79.94,79.79,0.016644295302013425,0.7674496644295302
265,2.78,15.89,79.94,79.79,0.016644295302013425,0.7740939597315436
266,2.78,15.89,79.94,79.79,0.016644295302013425,0.7807382550335571
267,2.78,15.89,79.94,79.79,0.016644295302013425,0.7873825503355705
268,2.78,15.89,79.94,79.79,0.016644295302013425,0.7940268456375839
269,2.78,15.89,79.94,79.79,0.016644295302013425,0.8006711409395973
270,2.78,15.89,79.94,79.79,0.016644295302013425,0.8073154362416107
271,2.78,15.89,79.94,79.79,0.016644295302013425,0.8139597315436241
